id,date,channel,user_type,content,category,sentiment,severity_hint,auto_priority,priority_mismatch
F022,2026-05-25,슬랙,기업고객,결제 대시보드에서 다음 갱신일과 예상 청구액을 미리 보여주세요.,결제/과금,중립,낮음,낮음,N
F023,2026-05-26,앱스토어,유료,문서 권한을 '댓글만 가능'으로 세분화해주세요. 보기/편집 두 가지뿐이라 아쉬워요.,기능요청,중립,낮음,낮음,N
F024,2026-05-27,인앱설문,유료,같은 알림이 5번씩 중복으로 옵니다. 슬랙 연동 후부터 그래요.,버그신고,부정,보통,보통,N
F025,2026-05-28,슬랙,무료,앱 알림이 오는데 어떤 활동에서 온 건지 한눈에 보려면 어디를 봐야 하나요?,사용문의,중립,낮음,낮음,N
F026,2026-05-29,앱스토어,기업고객,어제 업데이트 후 저장한 문서 수십 개가 전부 사라졌습니다. 복구도 안 된다니 말이 됩니까? 중요 계약서가 날아가서 회사에 큰 피해입니다. 즉시 조치하세요.,버그신고,부정,높음,높음,N
F027,2026-05-30,슬랙,유료,알림 다이제스트 기능이 생긴 뒤로 집중 시간이 늘었어요. 정말 고맙습니다.,기타,중립,낮음,낮음,N
F028,2026-05-31,앱스토어,기업고객,회의록 작성 시 참석자를 멘션하면 자동으로 작업이 배정되는 기능을 원합니다.,기능요청,중립,보통,보통,N
F029,2026-06-01,앱스토어,기업고객,결제 과정이 깔끔하고 영수증 처리도 자동이라 회계 업무가 편해졌습니다.,결제/과금,긍정,낮음,낮음,N
F030,2026-06-02,인앱설문,유료,일정 반복 설정에서 '매월 마지막 날'을 고르면 날짜가 1일로 저장됩니다.,버그신고,부정,낮음,낮음,N
F031,2026-06-03,슬랙,유료,댓글을 달면 두 번씩 등록됩니다. 중복 댓글이 계속 생겨요.,버그신고,부정,보통,보통,N
F032,2026-06-04,CS티켓,무료,간트차트에서 작업을 그룹(섹션)으로 접고 펼 수 있게 해주세요.,기능요청,중립,낮음,낮음,N
F033,2026-06-05,앱스토어,기업고객,엑셀 내보내기를 하면 한글이 전부 깨져서 다운로드됩니다.,버그신고,부정,보통,보통,N
F034,2026-06-06,인앱설문,무료,모바일에서 첨부파일 다운로드가 안 됩니다. 버튼을 눌러도 반응이 없어요.,버그신고,부정,보통,보통,N
F035,2026-06-07,슬랙,유료,"기업 관리자가 멤버 비밀번호 정책(복잡도, 변경주기)을 설정하게 해주세요.",기능요청,중립,보통,보통,N
F036,2026-06-08,인앱설문,무료,문서에서 멘션한 사람에게만 알림이 가도록 세밀하게 조정하고 싶어요.,기능요청,중립,낮음,낮음,N
F037,2026-06-09,CS티켓,유료,팀 통계 대시보드 숫자가 실제 데이터랑 안 맞습니다. 완료한 작업이 미완료로 집계돼요.,버그신고,부정,보통,보통,N
F038,2026-06-10,슬랙,무료,검색 기능이 먹통입니다. 키워드를 넣어도 결과가 0건으로만 나옵니다.,버그신고,부정,보통,보통,N
F039,2026-06-11,앱스토어,유료,대시보드를 팀별로 커스터마이징할 수 있게 해주세요. 위젯을 직접 배치하고 싶어요.,기능요청,중립,보통,보통,N
F040,2026-06-12,CS티켓,기업고객,작업 알림 메일에 바로 '완료 처리' 버튼을 넣어주세요. 앱을 안 열고 처리하고 싶어요.,기능요청,중립,낮음,낮음,N
F041,2026-06-13,앱스토어,기업고객,공유 링크로 접속하면 '권한 없음'이 뜹니다. 분명 전체 공개로 설정했는데요.,버그신고,부정,보통,보통,N
F042,2026-06-14,인앱설문,무료,템플릿을 불러오면 한글 제목이 물음표로 깨져서 들어옵니다.,버그신고,부정,보통,보통,N
F043,2026-06-15,CS티켓,유료,댓글에 파일을 첨부할 수 있게 해주세요. 지금은 텍스트만 됩니다.,기능요청,중립,낮음,낮음,N
F044,2026-06-16,CS티켓,유료,회원 탈퇴를 했는데도 결제가 또 청구됐습니다. 구독이 해지가 안 됐어요. 급합니다.,결제/과금 오류,부정,높음,높음,N
F045,2026-06-17,인앱설문,기업고객,기업 고객으로 전환하면 멤버 수 제한이 어떻게 되나요? 50명 정도 쓸 예정입니다.,사용문의,중립,보통,보통,N
F046,2026-06-18,CS티켓,기업고객,로그인 자체가 막혀서 팀 전체가 사흘째 업무를 못 하고 있습니다. 기업 요금제까지 결제했는데 이 정도면 서비스 자격이 없는 거 아닙니까. 해지하겠습니다.,결제/과금,부정,높음,높음,N
F047,2026-06-19,슬랙,무료,자동 저장이 작동을 안 해서 새로고침할 때마다 작업이 사라집니다.,버그신고,부정,높음,높음,N
F048,2026-06-20,CS티켓,유료,작업에 반복 알림(스누즈) 기능을 넣어주세요. 한 번 알림으로는 자꾸 잊어버려요.,기능요청,중립,낮음,낮음,N
F049,2026-06-21,인앱설문,무료,무료에서 유료로 올리면 기존 데이터가 그대로 유지되나요?,사용문의,중립,낮음,낮음,N
F050,2026-06-22,슬랙,유료,게스트(외부) 계정도 비용에 포함되나요? 협력사 인원 과금이 궁금합니다.,사용문의,중립,보통,보통,N
F051,2026-06-23,인앱설문,기업고객,캘린더에서 드래그로 일정 길이를 조절할 수 있게 해주세요.,기능요청,중립,낮음,낮음,N
F052,2026-06-24,슬랙,유료,파일 업로드가 50%에서 계속 멈춥니다. 10MB짜리 PDF인데 한 시간째 안 올라가요.,버그신고,부정,높음,높음,N
F053,2026-06-25,인앱설문,유료,문서 공유 링크를 비밀번호로 보호할 수 있나요?,사용문의,중립,낮음,낮음,N
F054,2026-06-26,CS티켓,기업고객,알림을 '나에게만 보이는 개인 메모' 형태로도 남길 수 있게 해주세요.,기능요청,중립,낮음,낮음,N
F055,2026-06-27,CS티켓,기업고객,고객센터 챗봇이 의외로 똑똑해서 웬만한 건 바로 해결됩니다. 편리해요.,칭찬,긍정,낮음,낮음,N
F056,2026-06-28,미확인,무료,문서 저장 버튼을 눌렀는데 작성하던 내용이 통째로 날아갔습니다. 2시간 작업분이 사라졌어요.,버그신고,부정,높음,높음,N
F057,2026-06-29,앱스토어,유료,파일 버전 관리 기능을 추가해주세요. 수정 전 파일로 되돌리고 싶을 때가 많아요.,기능요청,중립,보통,보통,N
F058,2026-06-30,슬랙,기업고객,작업 카드에서 바로 화상통화를 시작하는 버튼을 원합니다.,결제/과금,중립,낮음,낮음,N
F059,2026-05-04,CS티켓,유료,작업을 다른 팀원에게 일괄로 재배정하는 방법이 있나요?,사용문의,중립,낮음,낮음,N
F060,2026-05-05,인앱설문,유료,팀 워크스페이스 통계를 외부 BI 도구(태블로)로 연동하고 싶습니다.,기능요청,중립,보통,보통,N
F061,2026-05-06,인앱설문,유료,협업 기능 덕분에 이메일 주고받는 시간이 절반으로 줄었어요. 정말 만족합니다.,칭찬,긍정,낮음,낮음,N
F062,2026-05-07,CS티켓,무료,팀원 모두가 만족하는 툴 찾기 어려운데 이건 불만이 거의 없네요. 추천합니다.,칭찬,긍정,낮음,낮음,N
F063,2026-05-08,앱스토어,무료,작업에 하위 태스크(체크리스트)를 달 수 있게 해주세요. 큰 작업을 쪼개서 관리하고 싶어요.,기능요청,중립,보통,보통,N
F064,2026-05-09,앱스토어,유료,여러 워크스페이스 알림을 하나로 모아 볼 수 있나요?,사용문의,중립,낮음,낮음,N
F065,2026-05-10,앱스토어,기업고객,간트차트는 모든 플랜에서 쓸 수 있나요? 무료에서도 되는지 확인하고 싶어요.,결제/과금,중립,낮음,낮음,N
F066,2026-05-11,슬랙,유료,외부에서 접속 IP를 제한하는 보안 설정이 가능한가요? 기업 정책상 필요합니다.,기능요청,중립,보통,보통,N
F067,2026-05-12,앱스토어,유료,간트차트 인쇄 시 A4 여러 장으로 깔끔하게 나뉘게 해주세요.,기능요청,중립,낮음,낮음,N
F068,2026-05-13,슬랙,무료,업데이트 노트를 꼼꼼히 적어주셔서 새 기능 익히기 좋습니다. 세심함이 좋아요.,칭찬,긍정,낮음,낮음,N
F069,2026-05-14,인앱설문,유료,다크모드를 지원해주시면 좋겠습니다. 밤에 작업할 때 눈이 너무 부셔요.,기능요청,중립,낮음,낮음,N
F070,2026-05-15,슬랙,유료,멘션을 해도 상대방에게 알림이 안 갑니다. @태그가 작동을 안 해요.,버그신고,부정,보통,보통,N
F071,2026-05-16,인앱설문,기업고객,검색이 너무 느려서 답답합니다. 검색 결과를 관련도순으로 정렬하는 기능도 같이 추가해주세요.,기능요청,중립,보통,보통,N
F072,2026-05-17,CS티켓,기업고객,결제 금액이 부가세 포함인지 별도인지 표시가 잘못돼서 청구액이 다르게 나옵니다.,결제/과금,중립,보통,보통,N
F073,2026-05-18,슬랙,유료,결제 내역을 기간별로 조회하고 다운로드할 수 있나요?,결제/과금,중립,낮음,낮음,N
F074,2026-05-19,CS티켓,유료,앱 업데이트 후 화면이 새하얗게만 뜨고 아무것도 안 보입니다. 재설치해도 똑같아요.,버그신고,부정,높음,높음,N
F075,2026-05-20,CS티켓,유료,캘린더 일정에 화상회의 링크(줌/구글밋)를 자동 생성해서 붙여주세요.,기능요청,중립,보통,보통,N
F076,2026-05-21,앱스토어,무료,앱 첫 실행 시 온보딩 화면에서 다음 버튼이 안 눌려서 진행이 안 됩니다.,버그신고,부정,높음,높음,N
F077,2026-05-22,슬랙,유료,결제 실패 시 며칠 안에 재결제하면 서비스가 유지되나요?,결제/과금 오류,부정,낮음,낮음,N
F078,2026-05-23,슬랙,무료,무료 플랜에서 저장 가능한 작업 개수에 제한이 있나요?,결제/과금,중립,낮음,낮음,N
F079,2026-05-24,인앱설문,무료,새로 나온 다크모드 너무 좋아요. 야근할 때 눈이 편합니다. 감사합니다.,칭찬,긍정,낮음,낮음,N
F080,2026-05-25,인앱설문,유료,멤버별 작업량 통계를 볼 수 있는 리포트 기능이 필요합니다.,기능요청,중립,보통,보통,N
F081,2026-05-26,CS티켓,기업고객,작업을 다른 워크스페이스로 이동/복사하는 기능을 원합니다.,기능요청,중립,낮음,낮음,N
F082,2026-05-27,슬랙,기업고객,기업 플랜에서 사용량 리포트를 받을 수 있나요? 라이선스 관리용으로요.,결제/과금,중립,보통,보통,N
F083,2026-05-28,슬랙,유료,모바일 앱에 지문/페이스ID 로그인을 지원해주세요.,기능요청,중립,낮음,낮음,N
F084,2026-05-29,슬랙,기업고객,문서 버전 관리 덕분에 실수로 지운 내용도 쉽게 복구했어요. 살았습니다.,칭찬,긍정,낮음,낮음,N
F085,2026-05-30,앱스토어,유료,문서에 코드 블록 문법 강조(하이라이트)를 지원해주세요. 개발팀이 자주 씁니다.,기능요청,중립,낮음,낮음,N
F086,2026-05-31,슬랙,유료,문서 공동편집 중 상대 커서가 안 보이고 변경사항이 충돌나서 덮어써집니다.,버그신고,부정,높음,높음,N
F087,2026-06-01,CS티켓,무료,데이터는 어디 서버에 저장되나요? 국내 리전 보관 여부를 확인하고 싶습니다.,기능요청,중립,보통,보통,N
F088,2026-06-02,슬랙,유료,멘션 자동완성 목록에 탈퇴한 멤버가 계속 뜹니다.,버그신고,부정,낮음,낮음,N
F089,2026-06-03,앱스토어,미확인,알림을 요약해서 하루 한 번 다이제스트로 받는 옵션을 추가해주세요.,기능요청,중립,낮음,낮음,N
F090,2026-06-04,인앱설문,유료,긴급 문의에도 주말에 답변 주셔서 놀랐습니다. 이런 회사 흔치 않아요.,칭찬,긍정,낮음,낮음,N
F091,2026-06-05,CS티켓,기업고객,모바일 앱에서 다크모드를 시스템 설정과 자동 연동되게 해주세요.,기능요청,중립,낮음,낮음,N
F092,2026-06-06,슬랙,무료,캘린더 동기화가 완벽해서 일정 누락이 사라졌습니다. 정말 유용해요.,버그신고,부정,낮음,낮음,N
F093,2026-06-07,CS티켓,유료,대용량 보드를 열면 브라우저가 멈추고 '응답 없음'이 뜹니다.,버그신고,부정,보통,보통,N
F094,2026-06-08,CS티켓,유료,작업 마감 임박 시 미리 알림을 며칠 전부터 받을 수 있게 설정하고 싶어요.,기능요청,중립,낮음,낮음,N
F095,2026-06-09,앱스토어,기업고객,크롬에서는 되는데 사파리에서는 버튼 클릭이 전혀 안 먹힙니다.,버그신고,부정,보통,보통,N
F096,2026-06-10,인앱설문,기업고객,모바일과 PC를 동시에 로그인해서 쓸 수 있나요?,사용문의,중립,낮음,낮음,N
F097,2026-06-11,슬랙,무료,기업 계약 시 최소 계약 기간이나 인원 조건이 있나요?,사용문의,중립,보통,보통,N
F098,2026-06-12,CS티켓,유료,웹훅 연동이 어제부터 전부 실패합니다. 외부 시스템으로 데이터가 안 넘어가요. 급합니다.,버그신고,부정,높음,높음,N
F099,2026-06-13,CS티켓,유료,기업 보안 요건을 다 충족해서 보안팀 심사를 한 번에 통과했어요. 든든합니다.,칭찬,긍정,낮음,낮음,N
F100,2026-06-14,슬랙,기업고객,업무 시간 외 알림 차단 기능 덕에 워라밸이 좋아졌어요. 세심한 배려 감사합니다.,칭찬,긍정,낮음,낮음,N
F101,2026-06-15,인앱설문,무료,문서에 표를 더 자유롭게 편집할 수 있게 해주세요. 셀 병합이 안 됩니다.,버그신고,부정,낮음,낮음,N
F102,2026-06-16,앱스토어,무료,타임존이 자꾸 UTC로 바뀝니다. 한국 시간으로 설정해도 일정이 9시간씩 밀려요.,버그신고,부정,보통,보통,N
F103,2026-06-17,인앱설문,무료,동시에 몇 명까지 한 문서를 편집할 수 있나요? 인원 제한이 있는지 궁금합니다.,사용문의,중립,낮음,낮음,N
F104,2026-06-18,인앱설문,유료,간트차트에서 기준선(baseline) 대비 실제 진행을 비교하는 기능을 원합니다.,기능요청,중립,보통,보통,N
F105,2026-06-19,슬랙,유료,결제 내역 화면이 빈 페이지로 뜹니다. 영수증 확인을 할 수가 없습니다.,결제/과금 오류,부정,보통,보통,N
F106,2026-06-20,슬랙,기업고객,모바일에서도 간트차트를 편하게 볼 수 있게 최적화해주세요.,기능요청,중립,보통,보통,N
F107,2026-06-21,앱스토어,기업고객,CS 담당자분이 제 상황을 정확히 이해하고 맞춤 해결책을 주셔서 감동했어요.,칭찬,긍정,낮음,낮음,N
F108,2026-06-22,슬랙,무료,작업 알림을 받을 시간대(업무시간 9-18시)를 지정하고 싶어요.,기능요청,중립,낮음,낮음,N
F109,2026-06-23,슬랙,유료,태그 색상을 바꿔도 저장이 안 되고 새로고침하면 원래대로 돌아옵니다.,버그신고,부정,낮음,낮음,N
F110,2026-06-24,앱스토어,무료,작업 필터 조건을 저장해두고 클릭 한 번으로 적용하는 '저장된 뷰'를 원합니다.,기능요청,중립,보통,보통,N
F111,2026-06-25,앱스토어,기업고객,캘린더를 구글 캘린더와 양방향 동기화되게 해주세요. 지금은 한쪽만 됩니다.,기능요청,중립,보통,보통,N
F112,2026-06-26,슬랙,유료,CSV 가져오기를 하면 첫 줄이 헤더로 안 잡히고 데이터로 들어갑니다.,버그신고,부정,보통,보통,N
F113,2026-06-27,CS티켓,무료,API 토큰을 새로 발급받았는데 인증이 계속 401로 거부됩니다.,버그신고,부정,보통,보통,N
F114,2026-06-28,인앱설문,유료,기업 고객용 데이터 백업/내보내기를 정기적으로 자동화해주세요.,기능요청,중립,보통,보통,N
F115,2026-06-29,인앱설문,유료,작업 상태가 바뀔 때마다 변경 이력을 타임라인으로 보여주세요.,기능요청,중립,낮음,낮음,N
F116,2026-06-30,CS티켓,기업고객,알림 소리를 작업 유형별로 다르게 설정할 수 있게 해주세요.,기능요청,중립,낮음,낮음,N
F117,2026-05-04,앱스토어,무료,필터를 걸면 데이터가 전부 사라졌다가 한참 뒤에 나타납니다. 너무 느려요.,버그신고,부정,보통,보통,N
F118,2026-05-05,인앱설문,유료,간트차트 화면에서 스크롤하면 날짜 헤더가 본문이랑 어긋납니다.,버그신고,부정,낮음,낮음,N
F119,2026-05-06,슬랙,기업고객,작업에 '대기/차단(blocked)' 상태를 추가해주세요. 진행/완료만으로는 부족해요.,기능요청,중립,낮음,낮음,N
F120,2026-05-07,앱스토어,무료,팀 공지사항을 상단 고정하는 기능이 있으면 좋겠어요.,기능요청,중립,낮음,낮음,N
F121,2026-05-08,슬랙,무료,유료 플랜과 무료 플랜의 차이가 정확히 뭔가요? 어떤 기능이 유료 전용인지 궁금합니다.,결제/과금,중립,보통,보통,N
F122,2026-05-09,앱스토어,유료,파일 공유가 빠르고 안정적이라 대용량 자료도 걱정 없이 주고받습니다.,칭찬,긍정,낮음,낮음,N
F123,2026-05-10,슬랙,무료,알림 센터를 열면 앱이 바로 꺼집니다. 알림함 진입 자체가 안 돼요.,버그신고,부정,높음,높음,N
F124,2026-05-11,CS티켓,기업고객,도입 상담 때 무리하게 비싼 플랜 권하지 않고 딱 맞는 걸 추천해주셔서 신뢰가 갔어요.,결제/과금,긍정,낮음,낮음,N
F125,2026-05-12,인앱설문,유료,결제 완료 화면이 안 뜨고 무한 로딩만 돕니다. 결제가 됐는지 안 됐는지 모르겠어요.,결제/과금 오류,부정,높음,높음,N
F126,2026-05-13,슬랙,무료,결제 후 인보이스 발행 회사명이 예전 정보로 나옵니다. 수정해도 반영이 안 돼요.,결제/과금 오류,부정,보통,보통,N
F127,2026-05-14,CS티켓,유료,팀원이 퇴사하면 그 사람 작업은 어떻게 인수인계되나요?,사용문의,중립,낮음,낮음,N
F128,2026-05-15,앱스토어,무료,작업 자동화 기능으로 단순 반복 업무가 사라졌어요. 시간을 많이 아꼈습니다.,버그신고,부정,낮음,낮음,N
F129,2026-05-16,인앱설문,유료,작업 완료율을 팀 단위로 주간 리포트로 자동 전송해주세요.,기능요청,중립,보통,보통,N
F130,2026-05-17,CS티켓,무료,대시보드 위젯을 추가하면 페이지 전체가 하얗게 변하고 멈춥니다.,버그신고,부정,보통,보통,N
F131,2026-05-18,미확인,유료,드래그앤드롭이 부드러워서 작업 정리하는 게 재밌을 정도예요.,칭찬,긍정,낮음,낮음,N
F132,2026-05-19,CS티켓,유료,API를 쓰려면 어떤 플랜 이상이어야 하나요? 연동 개발을 검토 중입니다.,결제/과금,중립,보통,보통,N
F133,2026-05-20,인앱설문,유료,앱에서 오프라인 모드를 지원해주세요. 비행기나 지하철에서도 작업하고 싶어요.,기능요청,중립,보통,보통,N
F134,2026-05-21,슬랙,유료,푸시 알림을 누르면 항상 홈으로만 가고 해당 알림 화면으로 안 갑니다.,버그신고,부정,낮음,낮음,N
F135,2026-05-22,CS티켓,유료,외부 캘린더 연동 후 일정이 두 배로 복제됩니다.,버그신고,부정,보통,보통,N
F136,2026-05-23,인앱설문,무료,푸시 알림 권한을 허용했는데도 설정에서 계속 '꺼짐'으로 표시됩니다.,기타,중립,낮음,낮음,N
F137,2026-05-24,슬랙,기업고객,팀 내 멘션 시 역할(@개발팀)로 한 번에 멘션하는 그룹 멘션을 원합니다.,기능요청,중립,보통,보통,N
F138,2026-05-25,CS티켓,유료,결제 시 프로모션 코드/쿠폰을 입력하는 칸을 추가해주세요.,결제/과금,중립,낮음,낮음,N
F139,2026-05-26,인앱설문,무료,작업 데이터를 백업해두려면 어떤 형식으로 내보낼 수 있나요?,사용문의,중립,낮음,낮음,N
F140,2026-05-27,앱스토어,유료,모바일에서 글자가 화면 밖으로 잘려서 안 보입니다. 갤럭시 폴드에서 레이아웃이 깨져요.,버그신고,부정,보통,보통,N
F141,2026-05-28,앱스토어,무료,결제 수단을 카드 외에 계좌이체나 가상계좌로도 할 수 있나요?,결제/과금,중립,낮음,낮음,N
F142,2026-05-29,CS티켓,유료,캘린더 일정을 색맹 사용자도 구분하기 쉬운 팔레트로 제공해주세요.,기능요청,중립,낮음,낮음,N
F143,2026-05-30,슬랙,유료,문서 버전 기록에서 이전 버전 복원을 누르면 현재 내용까지 지워집니다.,버그신고,부정,높음,높음,N
F144,2026-05-31,앱스토어,무료,간트 뷰에서 휴일 표시가 주말이 아니라 평일에 찍힙니다.,기타,중립,낮음,낮음,N
F145,2026-06-01,CS티켓,무료,간헐적으로 알림이 30분씩 늦게 옵니다. 실시간이라더니 지연이 심해요.,버그신고,부정,보통,보통,N
F146,2026-06-02,슬랙,무료,고객 피드백을 실제로 반영해주셔서 신뢰가 갑니다. 계속 쓸게요.,칭찬,긍정,낮음,낮음,N
F147,2026-06-03,슬랙,무료,"앱 업데이트는 자동인가요, 아니면 수동으로 받아야 하나요?",사용문의,중립,낮음,낮음,N
F148,2026-06-04,슬랙,유료,고객지원팀 응대가 정말 빠르고 친절했습니다. 문제를 30분 만에 해결해주셨어요.,칭찬,긍정,낮음,낮음,N
F149,2026-06-05,CS티켓,무료,캘린더 색상 라벨로 일정 구분이 명확해져서 일정 관리가 즐거워졌어요.,칭찬,긍정,낮음,낮음,N
F150,2026-06-06,앱스토어,기업고객,계정을 개인용에서 기업용으로 전환하면 기존 데이터가 그대로 옮겨지나요?,사용문의,중립,보통,보통,N
F151,2026-06-07,인앱설문,무료,간헐적으로 세션이 풀려서 작업 중에 갑자기 로그아웃됩니다.,기타,중립,보통,보통,N
F152,2026-06-08,인앱설문,유료,기업 계약 시 별도 보안 점검 자료(ISMS 등)를 받을 수 있나요?,사용문의,중립,보통,보통,N
F153,2026-06-09,슬랙,유료,기존에 쓰던 다른 툴에서 데이터를 가져올 수 있나요? 이전 방법이 궁금합니다.,사용문의,중립,보통,보통,N
F154,2026-06-10,인앱설문,기업고객,보드 배경이나 테마를 팀 색상에 맞게 바꿀 수 있으면 좋겠습니다.,기능요청,중립,낮음,낮음,N
F155,2026-06-11,슬랙,유료,템플릿 기능 덕분에 매주 반복하던 보고서 작성 시간이 확 줄었어요. 감사합니다.,칭찬,긍정,낮음,낮음,N
F156,2026-06-12,앱스토어,유료,팀 캘린더에서 멤버별 휴가/부재 일정을 표시하는 기능이 필요합니다.,기능요청,중립,보통,보통,N
F157,2026-06-13,앱스토어,유료,결제 정보를 변경하려면 어느 메뉴에서 하나요?,결제/과금,중립,낮음,낮음,N
F158,2026-06-14,슬랙,유료,온보딩 가이드가 친절해서 도입이 순조로웠어요. 담당 매니저님 감사합니다.,칭찬,긍정,낮음,낮음,N
F159,2026-06-15,슬랙,기업고객,결제일을 매월 특정 날짜로 지정할 수 있나요?,결제/과금,중립,낮음,낮음,N
F160,2026-06-16,앱스토어,유료,UI가 직관적이라 신입 팀원도 별도 교육 없이 바로 적응했습니다. 최고예요.,칭찬,긍정,낮음,낮음,N
F161,2026-06-17,앱스토어,유료,잘 쓰고 있는데 알림이 가끔 늦게 와서 아쉬워요. 알림 우선순위 설정 기능이 있으면 완벽할 것 같아요.,기타,중립,높음,높음,N
F162,2026-06-18,슬랙,기업고객,첨부파일 미리보기가 안 열리고 빈 팝업만 뜹니다.,기타,중립,낮음,낮음,N
F163,2026-06-19,CS티켓,기업고객,작업 카드에 예상 소요시간을 입력하고 실제 시간과 비교하는 기능을 원해요.,결제/과금,중립,낮음,낮음,N
F164,2026-06-20,앱스토어,기업고객,작업 검색 기록을 저장해서 최근 검색어를 다시 쓸 수 있게 해주세요.,기능요청,중립,낮음,낮음,N
F165,2026-06-21,인앱설문,유료,드래그로 파일을 옮기면 가끔 삭제됩니다. 옮긴 파일이 사라졌어요.,버그신고,부정,높음,높음,N
F166,2026-06-22,인앱설문,유료,이미지 첨부 시 세로 사진이 가로로 회전돼서 올라갑니다.,버그신고,부정,낮음,낮음,N
F167,2026-06-23,CS티켓,유료,대시보드 한 화면에서 모든 진행상황이 보여서 관리가 정말 편합니다.,칭찬,긍정,낮음,낮음,N
F168,2026-06-24,슬랙,무료,앱 권한 요청 팝업이 무한 반복돼서 아무 화면도 못 넘어갑니다.,기타,중립,높음,높음,N
F169,2026-06-25,앱스토어,무료,간헐적으로 저장 중 '네트워크 오류'가 뜨면서 변경사항이 유실됩니다.,버그신고,부정,높음,높음,N
F170,2026-06-26,슬랙,유료,2단계 인증 코드가 안 옵니다. SMS가 도착을 안 해서 로그인 자체가 막혔어요.,버그신고,부정,높음,높음,N
F171,2026-06-27,CS티켓,유료,기업 도입 후 팀 전체 생산성이 올라간 게 데이터로 보입니다. 잘 선택했어요.,칭찬,긍정,낮음,낮음,N
F172,2026-06-28,인앱설문,기업고객,앱이 백그라운드에 있다가 돌아오면 처음 화면으로 리셋됩니다. 작업 위치를 잃어요.,버그신고,부정,보통,보통,N
F173,2026-06-29,앱스토어,유료,팀 협업 통계를 보면서 회고하는 게 습관이 됐어요. 데이터가 정확해서 좋습니다.,칭찬,긍정,낮음,낮음,N
F174,2026-06-30,인앱설문,유료,UI 업데이트 이후 훨씬 직관적이라 헤맬 일이 없어졌어요. 잘 만드셨네요.,칭찬,긍정,낮음,낮음,N
