id,channel,content_summary,category,sentiment
F063,앱스토어,작업에 하위 태스크(체크리스트)를 달 수 있게 해주세요...,기능요청,중립
F064,앱스토어,여러 워크스페이스 알림을 하나로 모아 볼 수 있나요?,일반문의,중립
F065,앱스토어,간트차트는 모든 플랜에서 쓸 수 있나요? 무료에서도 되...,일반문의,중립
F066,슬랙,외부에서 접속 IP를 제한하는 보안 설정이 가능한가요?...,기능요청,중립
F067,앱스토어,간트차트 인쇄 시 A4 여러 장으로 깔끔하게 나뉘게 해...,기능요청,중립
F068,슬랙,업데이트 노트를 꼼꼼히 적어주셔서 새 기능 익히기 좋습...,칭찬,긍정
F069,인앱설문,다크모드를 지원해주시면 좋겠습니다. 밤에 작업할 때 눈...,기능요청,중립
F070,슬랙,멘션을 해도 상대방에게 알림이 안 갑니다. @태그가 작...,버그,부정
F071,인앱설문,검색이 너무 느려서 답답합니다. 검색 결과를 관련도순으...,기능요청,중립
F072,CS티켓,결제 금액이 부가세 포함인지 별도인지 표시가 잘못돼서 ...,일반문의,중립
F073,슬랙,결제 내역을 기간별로 조회하고 다운로드할 수 있나요?,일반문의,중립
F074,CS티켓,앱 업데이트 후 화면이 새하얗게만 뜨고 아무것도 안 보...,버그,부정
F075,CS티켓,캘린더 일정에 화상회의 링크(줌/구글밋)를 자동 생성해...,기능요청,중립
F076,앱스토어,앱 첫 실행 시 온보딩 화면에서 다음 버튼이 안 눌려서...,버그,부정
F077,슬랙,결제 실패 시 며칠 안에 재결제하면 서비스가 유지되나요...,버그,부정
F078,슬랙,무료 플랜에서 저장 가능한 작업 개수에 제한이 있나요?,일반문의,중립
F079,인앱설문,새로 나온 다크모드 너무 좋아요. 야근할 때 눈이 편합...,칭찬,긍정
F080,인앱설문,멤버별 작업량 통계를 볼 수 있는 리포트 기능이 필요합...,기능요청,중립
F081,CS티켓,작업을 다른 워크스페이스로 이동/복사하는 기능을 원합니...,기능요청,중립
F082,슬랙,기업 플랜에서 사용량 리포트를 받을 수 있나요? 라이선...,일반문의,중립
F083,슬랙,모바일 앱에 지문/페이스ID 로그인을 지원해주세요.,기능요청,중립
F084,슬랙,문서 버전 관리 덕분에 실수로 지운 내용도 쉽게 복구했...,칭찬,긍정
F085,앱스토어,문서에 코드 블록 문법 강조(하이라이트)를 지원해주세요...,기능요청,중립
F086,슬랙,문서 공동편집 중 상대 커서가 안 보이고 변경사항이 충...,버그,부정
F087,CS티켓,데이터는 어디 서버에 저장되나요? 국내 리전 보관 여부...,기능요청,중립
F088,슬랙,멘션 자동완성 목록에 탈퇴한 멤버가 계속 뜹니다.,버그,부정
F089,앱스토어,알림을 요약해서 하루 한 번 다이제스트로 받는 옵션을 ...,기능요청,중립
F090,인앱설문,긴급 문의에도 주말에 답변 주셔서 놀랐습니다. 이런 회...,칭찬,긍정
F091,CS티켓,모바일 앱에서 다크모드를 시스템 설정과 자동 연동되게 ...,기능요청,중립
F092,슬랙,캘린더 동기화가 완벽해서 일정 누락이 사라졌습니다. 정...,버그,부정
F093,CS티켓,대용량 보드를 열면 브라우저가 멈추고 '응답 없음'이 ...,버그,부정
F094,CS티켓,작업 마감 임박 시 미리 알림을 며칠 전부터 받을 수 ...,기능요청,중립
F095,앱스토어,크롬에서는 되는데 사파리에서는 버튼 클릭이 전혀 안 먹...,버그,부정
F096,인앱설문,모바일과 PC를 동시에 로그인해서 쓸 수 있나요?,일반문의,중립
F097,슬랙,기업 계약 시 최소 계약 기간이나 인원 조건이 있나요?,일반문의,중립
F098,CS티켓,웹훅 연동이 어제부터 전부 실패합니다. 외부 시스템으로...,버그,부정
F099,CS티켓,기업 보안 요건을 다 충족해서 보안팀 심사를 한 번에 ...,칭찬,긍정
F100,슬랙,업무 시간 외 알림 차단 기능 덕에 워라밸이 좋아졌어요...,칭찬,긍정
F101,인앱설문,문서에 표를 더 자유롭게 편집할 수 있게 해주세요. 셀...,버그,부정
F102,앱스토어,타임존이 자꾸 UTC로 바뀝니다. 한국 시간으로 설정해...,버그,부정
F103,인앱설문,동시에 몇 명까지 한 문서를 편집할 수 있나요? 인원 ...,일반문의,중립
F104,인앱설문,간트차트에서 기준선(baseline) 대비 실제 진행을...,기능요청,중립
F105,슬랙,결제 내역 화면이 빈 페이지로 뜹니다. 영수증 확인을 ...,버그,부정
F106,슬랙,모바일에서도 간트차트를 편하게 볼 수 있게 최적화해주세...,기능요청,중립
F107,앱스토어,CS 담당자분이 제 상황을 정확히 이해하고 맞춤 해결책...,칭찬,긍정
F108,슬랙,작업 알림을 받을 시간대(업무시간 9-18시)를 지정하...,기능요청,중립
F109,슬랙,태그 색상을 바꿔도 저장이 안 되고 새로고침하면 원래대...,버그,부정
F110,앱스토어,작업 필터 조건을 저장해두고 클릭 한 번으로 적용하는 ...,기능요청,중립
F111,앱스토어,캘린더를 구글 캘린더와 양방향 동기화되게 해주세요. 지...,기능요청,중립
F112,슬랙,CSV 가져오기를 하면 첫 줄이 헤더로 안 잡히고 데이...,버그,부정
F113,CS티켓,API 토큰을 새로 발급받았는데 인증이 계속 401로 ...,버그,부정
F114,인앱설문,기업 고객용 데이터 백업/내보내기를 정기적으로 자동화해...,기능요청,중립
F115,인앱설문,작업 상태가 바뀔 때마다 변경 이력을 타임라인으로 보여...,기능요청,중립
F116,CS티켓,알림 소리를 작업 유형별로 다르게 설정할 수 있게 해주...,기능요청,중립
F117,앱스토어,필터를 걸면 데이터가 전부 사라졌다가 한참 뒤에 나타납...,버그,부정
F118,인앱설문,간트차트 화면에서 스크롤하면 날짜 헤더가 본문이랑 어긋...,버그,부정
F119,슬랙,작업에 '대기/차단(blocked)' 상태를 추가해주세...,기능요청,중립
F120,앱스토어,팀 공지사항을 상단 고정하는 기능이 있으면 좋겠어요.,기능요청,중립
F121,슬랙,유료 플랜과 무료 플랜의 차이가 정확히 뭔가요? 어떤 ...,일반문의,중립
F122,앱스토어,파일 공유가 빠르고 안정적이라 대용량 자료도 걱정 없이...,칭찬,긍정
F123,슬랙,알림 센터를 열면 앱이 바로 꺼집니다. 알림함 진입 자...,버그,부정
F124,CS티켓,도입 상담 때 무리하게 비싼 플랜 권하지 않고 딱 맞는...,일반문의,긍정
F125,인앱설문,결제 완료 화면이 안 뜨고 무한 로딩만 돕니다. 결제가...,버그,부정
F126,슬랙,결제 후 인보이스 발행 회사명이 예전 정보로 나옵니다....,버그,부정
F127,CS티켓,팀원이 퇴사하면 그 사람 작업은 어떻게 인수인계되나요?,일반문의,중립
F128,앱스토어,작업 자동화 기능으로 단순 반복 업무가 사라졌어요. 시...,버그,부정
F129,인앱설문,작업 완료율을 팀 단위로 주간 리포트로 자동 전송해주세...,기능요청,중립
F130,CS티켓,대시보드 위젯을 추가하면 페이지 전체가 하얗게 변하고 ...,버그,부정
F131,미확인,드래그앤드롭이 부드러워서 작업 정리하는 게 재밌을 정도...,칭찬,긍정
F132,CS티켓,API를 쓰려면 어떤 플랜 이상이어야 하나요? 연동 개...,일반문의,중립
F133,인앱설문,앱에서 오프라인 모드를 지원해주세요. 비행기나 지하철에...,기능요청,중립
F134,슬랙,푸시 알림을 누르면 항상 홈으로만 가고 해당 알림 화면...,버그,부정
F135,CS티켓,외부 캘린더 연동 후 일정이 두 배로 복제됩니다.,버그,부정
F136,인앱설문,푸시 알림 권한을 허용했는데도 설정에서 계속 '꺼짐'으...,버그,부정
F137,슬랙,팀 내 멘션 시 역할(@개발팀)로 한 번에 멘션하는 그...,기능요청,중립
F138,CS티켓,결제 시 프로모션 코드/쿠폰을 입력하는 칸을 추가해주세...,일반문의,중립
F139,인앱설문,작업 데이터를 백업해두려면 어떤 형식으로 내보낼 수 있...,일반문의,중립
F140,앱스토어,모바일에서 글자가 화면 밖으로 잘려서 안 보입니다. 갤...,버그,부정
F141,앱스토어,결제 수단을 카드 외에 계좌이체나 가상계좌로도 할 수 ...,일반문의,중립
F142,CS티켓,캘린더 일정을 색맹 사용자도 구분하기 쉬운 팔레트로 제...,기능요청,중립
F143,슬랙,문서 버전 기록에서 이전 버전 복원을 누르면 현재 내용...,버그,부정
F144,앱스토어,간트 뷰에서 휴일 표시가 주말이 아니라 평일에 찍힙니다...,버그,부정
F145,CS티켓,간헐적으로 알림이 30분씩 늦게 옵니다. 실시간이라더니...,버그,부정
F146,슬랙,고객 피드백을 실제로 반영해주셔서 신뢰가 갑니다. 계속...,칭찬,긍정
F147,슬랙,"앱 업데이트는 자동인가요, 아니면 수동으로 받아야 하나...",일반문의,중립
F148,슬랙,고객지원팀 응대가 정말 빠르고 친절했습니다. 문제를 3...,칭찬,긍정
F149,CS티켓,캘린더 색상 라벨로 일정 구분이 명확해져서 일정 관리가...,칭찬,긍정
F150,앱스토어,계정을 개인용에서 기업용으로 전환하면 기존 데이터가 그...,일반문의,중립
F151,인앱설문,간헐적으로 세션이 풀려서 작업 중에 갑자기 로그아웃됩니...,버그,부정
F152,인앱설문,기업 계약 시 별도 보안 점검 자료(ISMS 등)를 받...,일반문의,중립
F153,슬랙,기존에 쓰던 다른 툴에서 데이터를 가져올 수 있나요? ...,일반문의,중립
F154,인앱설문,보드 배경이나 테마를 팀 색상에 맞게 바꿀 수 있으면 ...,기능요청,중립
F155,슬랙,템플릿 기능 덕분에 매주 반복하던 보고서 작성 시간이 ...,칭찬,긍정
F156,앱스토어,팀 캘린더에서 멤버별 휴가/부재 일정을 표시하는 기능이...,기능요청,중립
F157,앱스토어,결제 정보를 변경하려면 어느 메뉴에서 하나요?,일반문의,중립
F158,슬랙,온보딩 가이드가 친절해서 도입이 순조로웠어요. 담당 매...,칭찬,긍정
F159,슬랙,결제일을 매월 특정 날짜로 지정할 수 있나요?,일반문의,중립
F160,앱스토어,UI가 직관적이라 신입 팀원도 별도 교육 없이 바로 적...,칭찬,긍정
F161,앱스토어,잘 쓰고 있는데 알림이 가끔 늦게 와서 아쉬워요. 알림...,기능요청,중립
F162,슬랙,첨부파일 미리보기가 안 열리고 빈 팝업만 뜹니다.,버그,부정
F163,CS티켓,작업 카드에 예상 소요시간을 입력하고 실제 시간과 비교...,일반문의,중립
F164,앱스토어,작업 검색 기록을 저장해서 최근 검색어를 다시 쓸 수 ...,기능요청,중립
F165,인앱설문,드래그로 파일을 옮기면 가끔 삭제됩니다. 옮긴 파일이 ...,버그,부정
F166,인앱설문,이미지 첨부 시 세로 사진이 가로로 회전돼서 올라갑니다...,버그,부정
F167,CS티켓,대시보드 한 화면에서 모든 진행상황이 보여서 관리가 정...,칭찬,긍정
F168,슬랙,앱 권한 요청 팝업이 무한 반복돼서 아무 화면도 못 넘...,버그,부정
F169,앱스토어,간헐적으로 저장 중 '네트워크 오류'가 뜨면서 변경사항...,버그,부정
F170,슬랙,2단계 인증 코드가 안 옵니다. SMS가 도착을 안 해...,버그,부정
F171,CS티켓,기업 도입 후 팀 전체 생산성이 올라간 게 데이터로 보...,칭찬,긍정
F172,인앱설문,앱이 백그라운드에 있다가 돌아오면 처음 화면으로 리셋됩...,버그,부정
F173,앱스토어,팀 협업 통계를 보면서 회고하는 게 습관이 됐어요. 데...,칭찬,긍정
F174,인앱설문,UI 업데이트 이후 훨씬 직관적이라 헤맬 일이 없어졌어...,칭찬,긍정
F175,인앱설문,결제 플랜별 동시 접속 기기 수 제한이 있나요?,일반문의,중립
F176,슬랙,캘린더 알림을 일정 시작 시점 외에 종료 시점에도 받고...,기능요청,중립
F177,슬랙,데이터 처리 위탁 계약서(DPA)를 받을 수 있나요? ...,일반문의,중립
F178,CS티켓,작업 생성 시 자주 쓰는 담당자 조합을 프리셋으로 저장...,기능요청,중립
F179,슬랙,다크모드에서 글씨가 검은 배경에 검은색으로 나와 안 읽...,버그,부정
F180,인앱설문,모바일에서 여러 워크스페이스를 빠르게 전환하는 버튼을 ...,기능요청,중립
F181,앱스토어,앱 언어를 영어로 바꾸려면 어디서 설정하나요? 외국인 ...,일반문의,중립
F182,인앱설문,외부 협력사에게 보드 하나만 공유하려면 어떻게 설정해야...,일반문의,중립
F183,슬랙,주간 리포트 자동 발송 덕분에 일일이 정리할 필요가 없...,칭찬,긍정
F184,CS티켓,이번 업데이트로 앱이 훨씬 빨라졌어요. 로딩이 거의 없...,칭찬,긍정
F185,CS티켓,간트차트 데이터를 다른 프로젝트로 복사할 수 있나요?,일반문의,중립
F186,앱스토어,간트차트에 마일스톤 표시 기능을 추가해주세요. 큰 일정...,기능요청,중립
F187,슬랙,음성 메모로 작업을 빠르게 등록하는 기능이 있으면 좋겠...,기능요청,중립
F188,앱스토어,작업 알림을 카카오톡으로도 받을 수 있게 해주세요.,기능요청,중립
F189,앱스토어,팀 워크스페이스에 초대된 멤버가 들어오질 못합니다. 초...,버그,부정
F190,슬랙,무료 플랜만으로도 충분히 쓸 만해서 부담 없이 시작했어...,일반문의,중립
F191,앱스토어,대시보드 위젯에 목표 대비 달성률 게이지를 추가해주세요...,기능요청,중립
F192,슬랙,작업에 위치(장소) 정보를 붙여서 지도에서 보는 기능을...,기능요청,중립
F193,인앱설문,모바일 앱에 위젯을 만들어주세요. 홈 화면에서 오늘 할...,기능요청,중립
F194,CS티켓,탈퇴하면 작성한 데이터는 얼마 동안 보관되나요? 복구 ...,일반문의,중립
F195,슬랙,작업 자동 알림 덕에 마감을 놓치는 일이 사라졌습니다....,버그,부정
F196,CS티켓,신규 기능을 무료 사용자에게도 빠르게 열어주셔서 감사합...,칭찬,긍정
F197,인앱설문,캘린더 일정이 갑자기 전부 사라졌습니다. 동기화 후 데...,버그,부정
F198,인앱설문,멘션 알림이 정확해서 중요한 메시지를 놓치지 않게 됐어...,칭찬,긍정
F199,CS티켓,결제 후 환불 정책이 어떻게 되나요? 며칠 안에 신청하...,일반문의,중립
F200,인앱설문,"앱 사용 중 데이터는 자동 저장되나요, 아니면 수동으로...",일반문의,중립
F201,인앱설문,프로필 사진을 바꿨는데 예전 사진이 계속 보입니다. 캐...,버그,부정
F202,CS티켓,반복 일정을 만들면 종료일을 지정해도 무한히 생성됩니다...,버그,부정
F203,인앱설문,결제부터 정산까지 한 번에 처리돼서 관리 부서에서 특히...,일반문의,중립
F204,인앱설문,외부 게스트에게 특정 보드만 공개하는 권한 설정이 세밀...,기능요청,중립
F205,슬랙,작업 완료 시 자동으로 다음 담당자에게 넘기는 워크플로...,기능요청,중립
F206,인앱설문,작업 마감 알림을 며칠 전부터 받을지 직접 정할 수 있...,일반문의,중립
F207,슬랙,지난번 버그 신고했던 거 다음 날 바로 고쳐주셨네요. ...,칭찬,긍정
F208,CS티켓,멤버 검색에서 한글 이름이 검색이 안 됩니다. 영문만 ...,버그,부정
F209,CS티켓,알림이 안 와서 중요한 마감을 놓쳤습니다. 푸시 알림이...,버그,부정
F210,CS티켓,탈퇴 후 같은 이메일로 재가입하면 예전 데이터가 살아나...,일반문의,중립
F211,CS티켓,검색이 정확하고 빨라서 예전 자료 찾기가 정말 쉬워졌습...,칭찬,긍정
F212,앱스토어,기업 고객 관리자가 멤버 활동 로그를 감사(audit)...,기능요청,긍정
F213,인앱설문,일정에 색상 라벨을 여러 개 달 수 있게 해주세요. 지...,기능요청,중립
F214,앱스토어,회의 일정을 잡을 때 참석자 가능 시간을 자동으로 찾아...,기능요청,중립
F215,슬랙,알림 설정을 꺼도 이메일 알림이 계속 옵니다. 설정이 ...,버그,부정
F216,앱스토어,결제 플랜을 팀 규모에 따라 더 세분화해주세요. 5인 ...,일반문의,중립
F217,CS티켓,초대 메일이 스팸함으로 들어갑니다. 멤버들이 못 받았다...,버그,부정
F218,CS티켓,간헐적으로 댓글 알림이 영어로만 옵니다. 언어 설정이 ...,버그,부정
F219,앱스토어,전에 쓰던 툴에서 데이터 이전이 매끄러워서 전환이 부담...,칭찬,긍정
F220,앱스토어,작업 진행률 표시가 추가돼서 팀원들 동기부여에 도움이 ...,칭찬,긍정
F221,슬랙,간트차트에 마일스톤 표시 기능을 추가해주세요. 큰 일정...,기능요청,중립
F222,CS티켓,대시보드 데이터를 PDF 리포트로 한 번에 내보내는 기...,기능요청,중립
F223,CS티켓,"작업 카드에 커스텀 필드(우선순위, 고객사 등)를 추가...",일반문의,중립
F224,슬랙,전반적으로 군더더기 없이 핵심만 잘 만든 제품이라 매일...,칭찬,긍정
F225,앱스토어,문서 안에서 다른 작업 카드를 임베드해서 보여주는 기능...,일반문의,중립
F226,인앱설문,기업 고객 전용 상담 채널이 따로 있나요? 도입 문의를...,기능요청,중립
F227,CS티켓,알림음이 무음 모드에서도 울립니다. 회의 중에 계속 울...,버그,부정
F228,앱스토어,알림이 너무 많은데 중요한 것만 받도록 우선순위를 정할...,일반문의,중립
F229,인앱설문,팀 관리자 권한을 여러 명에게 줄 수 있나요? 권한 종...,일반문의,중립
F230,앱스토어,문서 공동편집 시 누가 어디를 수정 중인지 실시간으로 ...,기능요청,중립
F231,인앱설문,작업에 진행률(%)을 표시할 수 있게 해주세요. 완료/...,기능요청,중립
F232,슬랙,로그인 유지가 안 돼서 앱을 켤 때마다 다시 로그인해야...,버그,부정
F233,CS티켓,캘린더를 팀 외부 고객과 공유 가능한 읽기전용 링크로 ...,기능요청,중립
F234,CS티켓,문서 공동편집이 구글 문서보다 훨씬 매끄럽습니다. 충돌...,칭찬,긍정
F235,CS티켓,간트차트에서 리소스(담당자) 과부하를 색으로 경고해주는...,기능요청,중립
F236,슬랙,간단한 작업부터 복잡한 프로젝트까지 다 커버돼서 정말 ...,칭찬,긍정
F237,슬랙,팀 초대 인원이 50명을 넘으면 멤버 목록이 로딩되다 ...,버그,부정
F238,CS티켓,작업 카드를 키보드 단축키만으로 빠르게 생성/이동하고 ...,일반문의,중립
F239,앱스토어,간트차트를 이미지로 캡처해서 보고서에 붙이기 좋게 내보...,기능요청,중립
F240,인앱설문,고객 의견 게시판에 올린 제안이 실제로 반영돼서 감동했...,칭찬,긍정
F241,CS티켓,작업 마감일을 넘기면 자동으로 빨간색 표시되는 옵션을 ...,기능요청,중립
F242,인앱설문,아이폰에서 키보드가 입력창을 가려서 글을 쓸 수가 없습...,버그,부정
F243,앱스토어,디자인이 깔끔하고 군더더기가 없어서 쓸 때마다 기분이 ...,칭찬,긍정
F244,CS티켓,결제했는데 유료 플랜이 적용 안 됩니다. 결제 내역엔 ...,버그,부정
F245,미확인,결제 수단을 카드에서 계좌이체로 바꾸면 결제가 아예 안...,버그,부정
F246,CS티켓,문서 공유 시 만료 기한이 있는 임시 링크를 생성하고 ...,기능요청,중립
F247,인앱설문,API 연동이 잘 돼서 사내 시스템과 매끄럽게 붙였습니...,칭찬,긍정
F248,CS티켓,권한 관리가 세밀해서 외부 협력사와 안심하고 협업하고 ...,칭찬,긍정
F249,CS티켓,결제는 월 단위만 되나요? 연 단위 결제 시 할인이 있...,일반문의,중립
F250,CS티켓,작업을 보드/리스트/캘린더 외에 타임라인 뷰로도 보고 ...,기능요청,중립
F251,CS티켓,모바일과 웹이 완벽하게 동기화돼서 기기 바꿔도 끊김이 ...,칭찬,긍정
F252,인앱설문,작업 검색에 필터(담당자/기간/상태)를 조합할 수 있게...,기능요청,중립
F253,CS티켓,파일을 휴지통에서 복원하면 원래 폴더가 아니라 최상위로...,버그,부정
F254,앱스토어,캘린더에 음력 날짜와 한국 공휴일을 표시해주세요.,기능요청,중립
F255,인앱설문,팀 도입 후 프로젝트 마감 준수율이 눈에 띄게 올랐습니...,칭찬,긍정
F256,CS티켓,간트차트에서 작업 간 의존성(선후관계) 선을 그릴 수 ...,기능요청,중립
F257,앱스토어,워크스페이스를 여러 개 만들 수 있나요? 부서별로 분리...,기능요청,중립
F258,CS티켓,결제 영수증을 세금계산서로 받을 수 있나요? 회사 정산...,일반문의,중립
F259,앱스토어,알림에서 특정 키워드가 포함된 메시지만 받도록 필터링하...,기능요청,중립
F260,슬랙,팀원 권한을 관리자로 바꿔도 여전히 일반 멤버 권한으로...,버그,부정
F261,CS티켓,반복 작업 템플릿을 저장하는 기능이 있으면 좋겠어요. ...,기능요청,중립
F262,앱스토어,결제 페이지에서 카드 등록이 안 되고 '알 수 없는 오...,버그,부정
F263,인앱설문,작업 알림을 팀 채널과 개인 DM 중 선택해서 보낼 수...,기능요청,중립
F264,CS티켓,앱 잠금(PIN) 설정 후 PIN이 맞는데도 계속 틀렸...,버그,부정
F265,앱스토어,알림 설정을 세밀하게 할 수 있어서 방해받지 않고 집중...,칭찬,긍정
F266,CS티켓,모바일 앱에서 로그인하면 웹 세션이 강제로 끊깁니다. ...,버그,부정
F267,앱스토어,기업 결제 시 세금계산서를 자동 발행하는 기능을 추가해...,일반문의,중립
F268,인앱설문,앱 안정성이 정말 좋아요. 몇 달째 한 번도 튕긴 적이...,칭찬,긍정
F269,인앱설문,앱 알림과 이메일 알림이 중복으로 오는데 한쪽만 받게 ...,버그,부정
F270,슬랙,자동 반복 일정에서 공휴일은 건너뛰는 옵션을 넣어주세요...,기능요청,중립
F271,인앱설문,슬랙 연동은 어떻게 설정하나요? 단계별로 알려주시면 좋...,기능요청,중립
F272,슬랙,리포트 기능으로 팀 회의 준비 시간이 크게 줄었습니다....,칭찬,긍정
F273,앱스토어,팀 워크스페이스 이름을 나중에 바꿀 수 있나요?,일반문의,중립
F274,앱스토어,문서를 PDF로 내보낼 때 워터마크를 넣을 수 있나요?,일반문의,중립
F275,인앱설문,작업 댓글에 이모지 반응(👍)을 달 수 있게 해주세요....,기능요청,중립
F276,CS티켓,로그인이 계속 실패합니다. 비밀번호 재설정 메일도 안 ...,버그,부정
F277,앱스토어,초대받은 게스트가 댓글을 못 답니다. 읽기만 되고 쓰기...,버그,부정
